
gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.11872994,alpha=12.43789815,gamma=-0.38816642,n=10
MLE,mu=71.39642359,alpha=10.35168254,gamma=-0.45850451,n=10
PWM,mu=79.04635060,alpha=0.05214784,gamma=-5.87633100,n=10
L-moments,mu=70.68038948,alpha=11.26174403,gamma=-0.38045452,n=10

gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=68.67370823,alpha=13.39173014,gamma=-0.32248508,n=15
MLE,mu=70.07068000,alpha=11.98791387,gamma=-0.44476891,n=15
PWM,mu=77.84676014,alpha=6.77878320,gamma=-2.25193933,n=15
L-moments,mu=68.91555132,alpha=12.32988721,gamma=-0.29507327,n=15

gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.76695197,alpha=10.77589654,gamma=-0.18010923,n=20
MLE,mu=68.43927761,alpha=9.68259761,gamma=-0.24299825,n=20
PWM,mu=74.68189049,alpha=9.08289263,gamma=-1.61308017,n=20
L-moments,mu=67.84476780,alpha=9.93125020,gamma=-0.16251134,n=20

gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.58559811,alpha=9.52189928,gamma=-0.18112020,n=30
MLE,mu=68.02819223,alpha=8.84631908,gamma=-0.22672122,n=30
PWM,mu=72.18093704,alpha=9.86665796,gamma=-1.15891046,n=30
L-moments,mu=67.74158943,alpha=9.05137185,gamma=-0.18898856,n=30

gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=67.86904348,alpha=9.62251113,gamma=-0.19582953,n=50
MLE,mu=68.13910992,alpha=9.04019388,gamma=-0.21770217,n=50
PWM,mu=70.37044549,alpha=10.67648814,gamma=-0.69591909,n=50
L-moments,mu=67.89166894,alpha=9.23456377,gamma=-0.18305883,n=50

gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+02
VWLS,mu=68.74410681,alpha=10.31515162,gamma=-0.28008983,n=100
MLE,mu=69.00467643,alpha=9.99639194,gamma=-0.30779028,n=100
PWM,mu=69.97279221,alpha=10.93108096,gamma=-0.50882800,n=100
L-moments,mu=68.75634586,alpha=10.12356267,gamma=-0.27027466,n=100

gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.5e+02
VWLS,mu=68.92786540,alpha=10.24106353,gamma=-0.28642345,n=150
MLE,mu=69.17805229,alpha=10.03536828,gamma=-0.31879838,n=150
PWM,mu=69.64603943,alpha=10.63596788,gamma=-0.41967420,n=150
L-moments,mu=68.85814351,alpha=10.03533233,gamma=-0.26335148,n=150

gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=2.0e+02
VWLS,mu=69.41438798,alpha=10.12495012,gamma=-0.29865312,n=200
MLE,mu=93.27400281,alpha=3.68926310,gamma=-3.84629814,n=200
PWM,mu=69.93835846,alpha=10.43767557,gamma=-0.39770343,n=200
L-moments,mu=69.34713510,alpha=9.98121317,gamma=-0.27883923,n=200

gev-mu=70,alpha=10,gamma=0,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.11760626,alpha=12.33868093,gamma=0.00027377,n=10
MLE,mu=71.13728211,alpha=10.32327154,gamma=-0.10546465,n=10
PWM,mu=82.31937288,alpha=1.66199687,gamma=-3.65048995,n=10
L-moments,mu=70.53636490,alpha=11.43581417,gamma=-0.08651491,n=10

gev-mu=70,alpha=10,gamma=0,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.00402381,alpha=13.57872929,gamma=0.01007362,n=15
MLE,mu=69.27453696,alpha=11.10799270,gamma=0.02638777,n=15
PWM,mu=78.55761732,alpha=13.28149147,gamma=-1.43326922,n=15
L-moments,mu=69.04416388,alpha=12.29453967,gamma=-0.00689582,n=15

gev-mu=70,alpha=10,gamma=0,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.83793245,alpha=10.40590224,gamma=0.13856811,n=20
MLE,mu=68.20500986,alpha=9.10711325,gamma=0.09564061,n=20
PWM,mu=74.29761283,alpha=13.18019063,gamma=-0.98273281,n=20
L-moments,mu=67.87937606,alpha=9.45492700,gamma=0.10225233,n=20

gev-mu=70,alpha=10,gamma=0,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.54110002,alpha=8.73407468,gamma=0.13862666,n=30
MLE,mu=67.96318021,alpha=8.30573072,gamma=0.05452175,n=30
PWM,mu=71.66684927,alpha=11.76096181,gamma=-0.69247835,n=30
L-moments,mu=67.73757704,alpha=8.45904508,gamma=0.06955684,n=30

gev-mu=70,alpha=10,gamma=0,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=67.99857677,alpha=9.43422671,gamma=0.06296554,n=50
MLE,mu=67.99121875,alpha=8.47624622,gamma=0.08871907,n=50
PWM,mu=70.04431439,alpha=11.35910661,gamma=-0.33403572,n=50
