#gev-mu=70,alpha=10,gamma=0.3,N=e3.csv
VWLS, mu=69.820584, alpha=8.774903, gamma=0.351513
MLE, mu=69.506768, alpha=9.611716, gamma=0.325619
PWM, mu=69.778496, alpha=10.126298, gamma=0.268577
L-moments, mu=69.707935, alpha=9.955531, gamma=0.281178
#gev-mu=70,alpha=10,gamma=0.3,N=e3b.csv
VWLS, mu=69.820584, alpha=8.774903, gamma=0.351513
MLE, mu=69.506768, alpha=9.611716, gamma=0.325619
PWM, mu=69.778496, alpha=10.126298, gamma=0.268577
L-moments, mu=69.707935, alpha=9.955531, gamma=0.281178
#gev-mu=70,alpha=10,gamma=0.3,N=e4.csv
VWLS, mu=69.820997, alpha=10.238463, gamma=0.269641
MLE, mu=69.828518, alpha=9.820916, gamma=0.291145
PWM, mu=69.842585, alpha=9.841867, gamma=0.286922
L-moments, mu=69.835693, alpha=9.824753, gamma=0.288179
#gev-mu=70,alpha=10,gamma=0.3,N=e4b.csv
VWLS, mu=69.820997, alpha=10.238463, gamma=0.269641
MLE, mu=69.828518, alpha=9.820916, gamma=0.291145
PWM, mu=69.842585, alpha=9.841867, gamma=0.286922
L-moments, mu=69.835693, alpha=9.824753, gamma=0.288179

#gev-mu=70,alpha=10,gamma=0.3,N=e5.csv; rej_b=0.001; n=1e+03
VWLS, mu=69.82058403, alpha=8.77490287, gamma=0.35151272, n=1000
MLE, mu=69.50676767, alpha=9.61171559, gamma=0.32561873, n=1000
PWM, mu=69.77849634, alpha=10.12629770, gamma=0.26857660, n=1000
L-moments, mu=69.70793529, alpha=9.95553065, gamma=0.28117773, n=1000

#gev-mu=70,alpha=10,gamma=0.3,N=e5b.csv; rej_b=0.001; n=1e+03
VWLS, mu=69.82058403, alpha=8.77490287, gamma=0.35151272, n=1000
MLE, mu=69.50676767, alpha=9.61171559, gamma=0.32561873, n=1000
PWM, mu=69.77849634, alpha=10.12629770, gamma=0.26857660, n=1000
L-moments, mu=69.70793529, alpha=9.95553065, gamma=0.28117773, n=1000

#gev-mu=70,alpha=10,gamma=0.3,N=e6.csv; rej_b=0.001; n=1e+03
VWLS, mu=69.82058403, alpha=8.77490287, gamma=0.35151272, n=1000
MLE, mu=69.50676767, alpha=9.61171559, gamma=0.32561873, n=1000
PWM, mu=69.77849634, alpha=10.12629770, gamma=0.26857660, n=1000
L-moments, mu=69.70793529, alpha=9.95553065, gamma=0.28117773, n=1000

#gev-mu=70,alpha=10,gamma=0.1,N=e6.csv; rej_b=0.001; n=1e+03
VWLS, mu=69.67418544, alpha=9.89929533, gamma=0.09954409, n=1000
